job_title,job_detail_url,job_listed,company_name,company_link,company_location
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-verdant-infotech-solutions-3818361127?refId=ya3GklWdFdje8IGG4wTGMQ%3D%3D&trackingId=JXDuJR0gP8gebfbGDR82AA%3D%3D&position=10&pageNum=3&trk=public_jobs_jserp-result_search-card,3 days ago,Verdant Infotech Solutions,https://www.linkedin.com/company/verdant-infotech?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lewisville, TX"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-commonwealth-of-massachusetts-3825297383?refId=ya3GklWdFdje8IGG4wTGMQ%3D%3D&trackingId=JqwVDat0PwlMwImqVy6P2Q%3D%3D&position=11&pageNum=3&trk=public_jobs_jserp-result_search-card,2 days ago,Commonwealth of Massachusetts,https://www.linkedin.com/company/commonwealth-of-massachusetts?trk=public_jobs_jserp-result_job-search-card-subtitle,"Boston, MA"
Senior Data Analyst,https://www.linkedin.com/jobs/view/senior-data-analyst-at-brightwheel-3812003488?refId=ya3GklWdFdje8IGG4wTGMQ%3D%3D&trackingId=9rWyaL3m%2FOiAqUpTZVNJiA%3D%3D&position=12&pageNum=3&trk=public_jobs_jserp-result_search-card,2 weeks ago,brightwheel,https://www.linkedin.com/company/brightwheel?trk=public_jobs_jserp-result_job-search-card-subtitle,United States
Senior Data Analyst,https://www.linkedin.com/jobs/view/senior-data-analyst-at-insight-global-3817874983?refId=ya3GklWdFdje8IGG4wTGMQ%3D%3D&trackingId=injXOli6soIyEmovD1Wizw%3D%3D&position=13&pageNum=3&trk=public_jobs_jserp-result_search-card,4 days ago,Insight Global,https://www.linkedin.com/company/insight-global?trk=public_jobs_jserp-result_job-search-card-subtitle,"Sunrise, FL"
Entry Level Data Analyst (Remote),https://www.linkedin.com/jobs/view/entry-level-data-analyst-remote-at-synergisticit-3818363730?refId=ya3GklWdFdje8IGG4wTGMQ%3D%3D&trackingId=4gPwzHp4VtlVzinBOmlpKg%3D%3D&position=14&pageNum=3&trk=public_jobs_jserp-result_search-card,3 days ago,SynergisticIT,https://www.linkedin.com/company/synergisticit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Yonkers, NY"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-apex-systems-3818824176?refId=ya3GklWdFdje8IGG4wTGMQ%3D%3D&trackingId=kPmbUjC1Ymn%2BvHjGeVlpCw%3D%3D&position=15&pageNum=3&trk=public_jobs_jserp-result_search-card,3 days ago,Apex Systems,https://www.linkedin.com/company/apex-systems?trk=public_jobs_jserp-result_job-search-card-subtitle,"Salisbury, NC"
Junior Data Analyst,https://www.linkedin.com/jobs/view/junior-data-analyst-at-phoenix-recruitment-3826606120?refId=ya3GklWdFdje8IGG4wTGMQ%3D%3D&trackingId=A3jhWNSKShoi2dSQlyUjZg%3D%3D&position=16&pageNum=3&trk=public_jobs_jserp-result_search-card,7 hours ago,Phoenix Recruitment,https://www.linkedin.com/company/phoenix-recruitment-staffing?trk=public_jobs_jserp-result_job-search-card-subtitle,"Kansas City, MO"
ENTRY LEVEL DATA  ANALYST,https://www.linkedin.com/jobs/view/entry-level-data-analyst-at-synergisticit-3818363734?refId=ya3GklWdFdje8IGG4wTGMQ%3D%3D&trackingId=S4HCZMZoR7KGr%2BOUMYZ7ig%3D%3D&position=17&pageNum=3&trk=public_jobs_jserp-result_search-card,3 days ago,SynergisticIT,https://www.linkedin.com/company/synergisticit?trk=public_jobs_jserp-result_job-search-card-subtitle,"Houston, TX"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-may-institute-3824807361?refId=ya3GklWdFdje8IGG4wTGMQ%3D%3D&trackingId=1rNtHwapcnAWa82aHFJgUA%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card,2 days ago,May Institute,https://www.linkedin.com/company/the-may-institute?trk=public_jobs_jserp-result_job-search-card-subtitle,"Randolph, MA"
Data Analyst,https://www.linkedin.com/jobs/view/data-analyst-at-biospace-3826377631?refId=ya3GklWdFdje8IGG4wTGMQ%3D%3D&trackingId=4nwV7PyOCNoBsFq%2F5Fg3dw%3D%3D&position=19&pageNum=3&trk=public_jobs_jserp-result_search-card,10 hours ago,BioSpace,https://www.linkedin.com/company/biospaceinc?trk=public_jobs_jserp-result_job-search-card-subtitle,"Lebanon, IN"
